team,Matches,EPA_pts,Rating
3970,9,54.51,1598.7
7632,9,53.05,1590.0
1241,8,53.01,1589.8
2200,9,52.3,1585.5
3339,9,51.44,1580.4
1768,10,50.68,1575.8
2522,10,50.19,1572.9
6621,9,48.16,1560.8
5817,10,48.01,1559.9
9496,10,47.67,1557.9
2877,9,46.86,1553.1
2539,9,46.62,1551.6
467,10,46.51,1551.0
888,9,45.61,1545.6
195,10,45.35,1544.0
4907,10,45.14,1542.8
3130,10,44.83,1541.0
1506,9,44.75,1540.5
9245,9,44.09,1536.6
5736,8,43.47,1532.8
2491,6,43.01,1530.1
33,9,42.95,1529.7
2383,9,42.16,1525.0
230,8,42.13,1524.9
2783,8,41.96,1523.8
973,10,41.9,1523.5
9450,9,41.38,1520.4
10479,8,40.95,1517.8
2075,10,40.87,1517.4
1902,10,40.42,1514.7
86,8,40.33,1514.1
6324,8,40.08,1512.7
3045,9,39.91,1511.6
3197,10,39.62,1509.9
4728,8,39.6,1509.8
2767,10,39.49,1509.2
4145,7,39.2,1507.4
540,8,38.9,1505.6
3656,10,38.68,1504.3
4009,10,38.3,1502.0
801,10,38.11,1500.9
5987,10,38.09,1500.8
781,10,37.61,1497.9
2485,9,37.27,1495.9
5181,10,36.72,1492.6
3882,7,36.61,1492.0
8570,8,36.31,1490.2
1153,9,35.84,1487.4
3928,10,35.67,1486.4
7902,10,35.17,1483.4
5013,8,34.69,1480.5
8177,9,34.31,1478.3
70,9,33.06,1470.8
2706,9,32.78,1469.1
10224,9,32.28,1466.2
9134,9,32.21,1465.7
6647,8,32.1,1465.1
9545,2,31.92,1464.0
6873,7,31.93,1464.0
2960,10,31.8,1463.3
3473,9,30.95,1458.2
51,9,30.32,1454.4
9635,3,30.29,1454.3
5985,6,29.93,1452.1
5193,10,29.83,1451.5
7421,9,29.18,1447.7
1700,7,27.97,1440.5
2470,6,27.84,1439.6
1038,4,27.72,1439.0
2080,9,27.01,1434.8
3794,6,26.39,1431.1
3814,9,26.27,1430.3
10157,6,25.38,1425.0
8595,7,25.03,1422.9
6652,8,24.74,1421.2
