label,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
H,566.0,327.0,566.0,164.0,446.0,233.0,446.0,327.0
I,424.5,572.09,283.34,653.59,283.09,515.16,364.5,468.16
J,424.5,572.09,565.66,490.59,445.91,421.16,364.5,468.16
K,141.5,572.09,0.34,490.59,120.09,421.16,201.5,468.16
L,141.5,572.09,282.66,653.59,282.91,515.16,201.5,468.16
A,-0.0,327.0,-0.01,164.0,120.0,233.0,120.0,327.0
B,0.0,327.0,0.0,490.0,120.0,421.0,120.0,327.0
C,141.5,81.91,282.66,0.41,282.91,138.84,201.5,185.84
D,141.5,81.91,0.34,163.41,120.09,232.84,201.5,185.84
E,424.5,81.91,565.66,163.41,445.91,232.84,364.5,185.84
F,424.5,81.91,283.34,0.41,283.09,138.84,364.5,185.84
G,566.0,327.0,566.01,490.0,446.0,421.0,446.0,327.0
